ped_id,time_s,x,y,gt_x_1s,gt_y_1s,pred_x_1s,pred_y_1s
54,327.5,0.398,2.101,-0.971,2.907,0.312,2.238
55,334.25,-1.292,2.975,-0.194,2.519,-1.017,1.634
55,334.5,-1.107,2.781,0.136,2.344,-0.544,1.698
55,334.75,-0.923,2.927,0.476,2.402,-0.235,2.127
55,335.0,-0.894,2.956,0.719,2.286,-0.547,2.714
55,335.25,-0.194,2.519,0.962,2.237,0.951,2.375
55,335.5,0.136,2.344,0.942,2.266,1.526,1.877
55,335.75,0.476,2.402,0.787,2.325,1.868,1.723
57,341.5,1.292,1.421,0.175,1.314,-0.071,1.581
57,341.75,1.088,1.343,-0.097,1.363,0.165,1.633
57,342.0,0.767,1.499,-0.437,1.227,-0.381,1.59
57,342.25,0.593,1.489,-0.583,1.198,-0.392,1.515
57,342.5,0.175,1.314,-0.525,1.207,-1.11,1.332
57,342.75,-0.097,1.363,-1.205,1.285,-1.354,1.186
57,343.0,-0.437,1.227,-1.321,1.256,-1.69,1.072
57,343.25,-0.583,1.198,-1.379,1.256,-1.521,0.956
60,355.5,-1.399,3.17,-0.729,2.179,0.364,1.686
60,356.0,-1.107,2.606,-0.379,1.664,-0.071,1.92
60,356.25,-0.933,2.461,-0.185,1.489,-0.129,1.594
60,356.5,-0.729,2.179,-0.039,1.246,0.03,1.248
60,356.75,-0.534,1.965,0.204,1.178,0.232,0.998
62,362.75,0.049,1.47,-0.758,2.383,-0.528,2.157
62,363.0,-0.01,1.683,-1.117,3.345,-0.29,2.871
64,370.0,-1.253,3.034,-0.146,2.606,0.556,1.699
64,370.25,-1.175,2.762,0.185,2.461,-0.313,2.063
64,370.5,-0.729,2.684,0.602,2.422,0.591,1.839
64,370.75,-0.534,2.529,0.253,2.47,0.596,1.777
64,371.0,-0.146,2.606,1.137,2.325,1.138,2.036
64,371.5,0.602,2.422,1.904,2.344,1.868,2.241
66,377.75,0.661,1.577,-0.787,1.207,-1.493,2.131
66,378.25,-0.117,1.499,-1.302,1.305,-1.753,2.165
68,385.75,-1.37,1.557,-0.602,2.257,-1.156,1.77
68,386.0,-1.311,1.625,-0.651,2.276,-1.143,1.943
68,386.25,-1.185,1.79,-0.253,2.839,-0.826,2.031
68,386.5,-0.933,2.072,-0.107,2.898,-0.238,2.539
68,386.75,-0.602,2.257,-0.049,2.995,0.436,2.978
68,387.0,-0.651,2.276,0.359,3.082,-0.17,3.016
