t_ms,id,x,y,vx,vy,v,x_plus_1,y_plus_1
102000,21,-2.739429,3.441714,0.038857,0.000000,0.038857,-2.749143,3.441714
102250,21,-2.176000,3.441714,2.253714,0.000000,2.253714,-2.749143,3.441714
102500,21,-2.739429,3.441714,-2.253714,0.000000,2.253714,-2.749143,3.441714
102750,21,-2.739429,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
103000,21,-2.749143,3.441714,-0.038857,0.000000,0.038857,-2.739429,3.441714
103250,21,-2.749143,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
103500,21,-2.749143,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
103750,21,-2.739429,3.441714,0.038857,0.000000,0.038857,-2.739429,3.441714
104000,21,-2.739429,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
104250,21,-2.739429,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
104500,21,-2.739429,3.441714,0.000000,0.000000,0.000000,NaN,NaN
104750,21,-2.739429,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
105000,21,-2.739429,3.441714,0.000000,0.000000,0.000000,-2.729714,3.441714
105250,21,-2.739429,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
105750,21,-2.739429,3.441714,0.000000,0.000000,0.000000,NaN,NaN
106000,21,-2.729714,3.441714,0.038857,0.000000,0.038857,NaN,NaN
106250,21,-2.739429,3.441714,-0.038857,0.000000,0.038857,NaN,NaN
103500,22,-0.981143,2.237143,0.777143,-1.165714,1.401014,-0.194286,1.819429
103750,22,-0.806286,2.159429,0.699429,-0.310857,0.765397,-0.213714,1.819429
104000,22,-0.641143,2.091429,0.660571,-0.272000,0.714380,-0.038857,1.702857
104250,22,-0.340000,1.868000,1.204571,-0.893714,1.499906,NaN,NaN
104500,22,-0.194286,1.819429,0.582857,-0.194286,0.614385,0.155429,1.838857
104750,22,-0.213714,1.819429,-0.077714,0.000000,0.077714,0.165143,1.790286
105000,22,-0.038857,1.702857,0.699429,-0.466286,0.840609,0.184571,1.790286
105500,22,0.155429,1.838857,0.388571,0.272000,0.474312,0.194286,1.848571
105750,22,0.165143,1.790286,0.038857,-0.194286,0.198133,0.184571,1.770857
106000,22,0.184571,1.790286,0.077714,0.000000,0.077714,0.204000,1.761143
106250,22,0.184571,1.780571,0.000000,-0.038857,0.038857,0.213714,1.800000
106500,22,0.194286,1.848571,0.038857,0.272000,0.274761,0.204000,1.761143
106750,22,0.184571,1.770857,-0.038857,-0.310857,0.313276,0.330286,1.848571
107000,22,0.204000,1.761143,0.077714,-0.038857,0.086887,0.388571,1.819429
107250,22,0.213714,1.800000,0.038857,0.155429,0.160212,0.582857,1.955429
107500,22,0.204000,1.761143,-0.038857,-0.155429,0.160212,1.126857,1.848571
107750,22,0.330286,1.848571,0.505143,0.349714,0.614385,1.311429,1.877714
108000,22,0.388571,1.819429,0.233143,-0.116571,0.260662,1.185143,1.877714
108250,22,0.582857,1.955429,0.777143,0.544000,0.948624,NaN,NaN
108500,22,1.126857,1.848571,2.176000,-0.427429,2.217582,NaN,NaN
108750,22,1.311429,1.877714,0.738286,0.116571,0.747432,NaN,NaN
109000,22,1.185143,1.877714,-0.505143,0.000000,0.505143,NaN,NaN
114500,23,1.214286,2.120571,-1.282286,0.233143,1.303308,0.029143,2.217714
114750,23,0.854857,2.169143,-1.437714,0.194286,1.450782,-0.174857,2.363429
115000,23,0.621714,2.198286,-0.932571,0.116571,0.939829,-0.534286,2.412000
